Estados Unidos (U.S.A.), 1006109000,- - Otros,4204434,5115419,5292632,8234344.5,1.0132549E+7,7383113.5,8158676.5,1.0064849E+7,9738396,1.3356672E+7,1.5463955E+7,1.9085534E+7,1.9958714E+7,2.11086E+7,3.0898528E+7,2.6356632E+7,2.331463E+7,2.7232264E+7,2.6484094E+7,3.4486852E+7,3.2364834E+7,2.2359438E+7,2.312424E+7,
Estados Unidos (U.S.A.), 1006200000,- Arroz descascarillado (arroz cargo o arroz pardo),1934151,650197.75,1338978.8,51980.32,54440.879,50199.141,14.51,338372.22,6112.7202,3323.6299,5831.8198,2580.8899,855.69,922,1055.89,872.12,775391.81,7319.7998,5292.6201,2098862.8,1638.91,5874.4902,4.0100002,
Estados Unidos (U.S.A.), 1006301000,- - Grano tamaño medio fraccionado en uno de sus extremos, con rango de contenido de grasa de 0.60% a 0.75% destinado al proceso de insuflado y envasado en sacos de 50 kg, debidamente identificados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,108.88,0,0,4968.3301,0,
Estados Unidos (U.S.A.), 1006309000,- - Otros,825145,370907.84,1776700.9,42554.648,1603549,592628.38,1300474.4,771464.75,6498.3799,417718.66,7387.0898,403069.94,1044750.3,4788446,8109777,5116729,4238681.5,3794107.3,5015283,2328623.3,3564162.3,2541434.8,1060953.6,
Estados Unidos (U.S.A.), 1006400000,- Arroz partido,0,1142.11,105932.17,6475.0698,98.489998,1515.01,4082.01,0,1590.4,0,56.25,49.279999,1038721,0,0,1344647.8,375412.25,0,15.79,1193710.3,0,14.95,5.9299998,
Estados Unidos (U.S.A.), 1007100000,- Para siembra,57490.82,54017,75441.773,53657.238,29835.061,8123.6099,4706,29491.93,16896,9076.7803,11369.48,65384.641,52912.301,63633.879,175359.7,123779.9,255,29849.73,151.16,212.16,257.60999,0,0,
Estados Unidos (U.S.A.), 1007900000,- Los demás,0,0,1305669,0,0,0,0,0,0,44527.211,37389.828,0,0,0,0,0,0,0,0,0,0,0,0,
Estados Unidos (U.S.A.), 1008210000,- - Para siembra,0,0,0,0,0,0,0,0,0,173.81,181.03,0,0,0,0,0,0,0,0,0,0,0,0,
Estados Unidos (U.S.A.), 1008290000,- - Los demás,1074,0,0,161.02,0,432.23001,116.96,0,0,0,487.98999,0,0,0,7858.9399,94518.594,191867.3,296176,340603.88,55023.602,129554.09,139911.41,108480.71,
Estados Unidos (U.S.A.), 1008300000,- Alpiste,0,0,0,329.25,21.290001,0,74,0,0,0,13023.4,0,0,0,0,0,0,0,0,3.99,0.95999998,0,33.830002,
Estados Unidos (U.S.A.), 1008500000,- Quinua (quinoa) (Chenopodium quinoa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.82,26661.449,24184.5,
